ids,instructions,Verbs
5431602bfe,Season with salt.,season
5431602bfe,"Meanwhile, add the pasta to the boiling water and cook until softened but not cooked through, 2 to 4 minutes.","add,cook"
5431602bfe,"Reserve 1/2 cup cooking water, then drain.","reserve,drain"
5431602bfe,Add the pasta to the skillet along with the basil,add
5431602bfe," toss over medium heat, adding more of the reserved cooking water if needed, until the pasta is al dente.","toss,adding"
5431602bfe,Remove from the heat and stir in 1/4 cup Parmesan.,remove
5431602bfe,Top each serving with basil and the remaining Parmesan.,top
f631e2cf0b,"Place spinach, cranberries, pecans, apple, onion, carrot, and avocado into a bowl.",place
f631e2cf0b,"Drizzle with balsamic vinaigrette, and toss to coat.","drizzle,toss"
f12a156647,Preheat oven to 350'.,preheat
f12a156647,Grease a deep dish meatloaf pan with pam.,grease
f12a156647,Place 2 slices of bread on bottom of dish (this will catch the grease from the meatloaf).,place
f12a156647,"Mix together, ground beef,house seasoning,chopped onion and green pepper,1c shredded cheese, worcestershire sauce,sour cream,ritz crackers and black pepper.",mix
f12a156647,Place in meatloaf dish and bake 45 minutes.,"place,bake"
f12a156647,Discard bread pieces after baking.,discard
f12a156647,Place meatloaf on a large plate.,place
f12a156647,For the cheese sauce --.,
f12a156647,"Place soup, milk (whipping cream if using)in a sauce pan and heat on medium heat.","place,heat"
f12a156647,Add 1 1/2c.,add
f12a156647,cheddar cheese and stir to combine.,stir
f12a156647,"When cheese is melted add, green onion and parsley if desired.",add
f12a156647,Pour over meatloaf and enjoy!,pour
6c049b8699,Place the butter in a plastic bag and knead until soft.,"place,knead"
6c049b8699,Add in the pancake mix and knead some more.,"add,knead"
6c049b8699,"Once the mixture has come together, add milk and knead.","add,knead"
6c049b8699,Bring the dough together again into one clump.,bring
6c049b8699,Chill in the fridge for 30 minutes or more.,chill
6c049b8699,Roll it out after chilling.,roll it out
6c049b8699,Press the dough into the tart pan.,press
6c049b8699,Pierce the surface of the dough with a fork to make shallow holes (poke lots of holes near the edges!!,pierce
6c049b8699,).,none
6c049b8699,Bake for 8 minutes in a preheated oven at 190C.,bake
6c049b8699,"To finish, decorate with toppings if you wish.",decorate
ef41aea897,Preheat oven to 350 F (325 F for dark or nonstick pan).,preheat
ef41aea897,"Combine cake mix, oil, water and eggs with electric mixer on low speed until smooth.",combine
ef41aea897,Spread into ungreased 13X9-inch pan.,spread
ef41aea897,Bake 18-22 minutes until top is golden brown.,bake
ef41aea897,Remove partially baked crust from oven.,remove
ef41aea897,"In 1-cup measuring cup, microwave caramel topping about 15 seconds or until warm and pourable, and drizzle over crust.","microwave,drizzle"
ef41aea897,Crumble cookies over crust.,crumble
ef41aea897,Bake 18-22 minutes longer or until golden brown.,bake
ef41aea897,Cool completely and cut into bars.,"cool,cut"
55e4c58153,"In a skillet or Wok, saute the peas, mushrooms, spring onion and water chestnuts until tender-crisp.",saute
55e4c58153,"When done, mix in the bean sprouts and remove from the heat and set aside.","mix,remove,set aside"
55e4c58153,Preheat your oven to 325'F.,preheat
55e4c58153,Blend the 1 3/4 lb.,blend
55e4c58153,of tofu and soy sauce until creamy.,none
55e4c58153,"Pour this into a bowl and mix in the 1/2 cup mashed tofu, flour, yeast if using and the baking powder.","pour,mix"
55e4c58153,Mix the veggies and tofu mixture together well.,mix
55e4c58153,"On an oiled cookie sheet, make 6-8 patties, about 5"" around and 1/2 inch thick.",make
55e4c58153,"Bake for 30 minutes, then flip over and bake another 15 mintues.","bake,flip over"
55e4c58153,FOR THE GRAVY:.,none
55e4c58153,"Mix the cold water, soy sauce, and cornstarch together.",mix
55e4c58153,"Heat slowly on low, add the mushrooms pieces and continue to heat until thickened.","heat,add"
55e4c58153,This gravy is delicious.,none
55e4c58153,Pour over your tofu foo yung patties and enjoy.,pour
2dccd48a00,"Soak the noodles in cold water for about 12 min, stirring once half way.","soak,stirring"
2dccd48a00,They should be just soft enough to not break when bent.,none
2dccd48a00,Drain.,drain
2dccd48a00,Meanwhile prepare all your ingredients.,prepare
2dccd48a00,"Slice chicken breast to strips, carrots - to thinly sliced half circles",slice
2dccd48a00,chop the garlic.,chop
2dccd48a00,Beat the eggs slightly.,beat
2dccd48a00,Heat 1 tbsp of oil in a wok or large(preferably deep) frying pan Stir fry the eggs till cooked and remove from the wok completely.,"heat,stir fry"
2dccd48a00,Add the remaining 3 tbsp of oil.,add
2dccd48a00,Fry the chicken on medium-high heat till all the water is evaporated.,fry
2dccd48a00,"Add carrot and garlic, stir fry for about 3 minutes","add,stir fry"
2dccd48a00,"Add pad thai sauce, let it warm up for minute and then add noodles and green onion.","add,let it warm"
2dccd48a00,Stir fry for a few more minutes until everything is mixed well and noodles are heated through.,stir fry
2dccd48a00,Add bean sprouts and eggs and stir fry for 3 more minutes.,"add,stir fry"
2dccd48a00,And it's done.,none
2dccd48a00,Enjoy!,none
2dccd48a00,TIPS: You can also add chopped peanuts and serve it with lime.,"add,serve"
2dccd48a00,"In terms of calories, by my calculations, a serving of 200g(7 ounces) comes up to about 410 calories.",none
2dccd48a00,"It will depend on the sauce you use, because they can vary in calories significantly.",none
5234148420,Preheat oven to 350 degrees F.,preheat
5234148420,Mix together flour and sugar.,mix
5234148420,Add beer and mix.,add
5234148420,Place in a large greased bread pan and cook for 1 hour.,"place,cook"
26a644af06,Heat chicken broth to boiling.,heat
26a644af06,"Meanwhile, combine beef, cheese and pepper.",combine
26a644af06,Knead lightly to mix but don't overdo it.,knead
26a644af06,Roll into 1 inch meatballs.,roll
26a644af06,Drop meatballs into boiling broth and reduce heat to simmering (medium low usually).,"drop,reduce heat"
26a644af06,Cook for 10 minutes.,cook
26a644af06,Add spinach and cook for 10 more minutes.,"add,cook"
26a644af06,Serve with french bread if you have it.,serve
5cbb71fb6e,In a pan put some oil then parmesan cheese,put
5cbb71fb6e,When its golden inverse the cheese in a bowl to have this shape,inverse
5cbb71fb6e,Mix all the other ingredients together for the dressing,mix
5cbb71fb6e,Cut the toast in cubes and put it in the oven till it becomes crispy,"cut,put"
5cbb71fb6e,In the cheese put salad .,put
5cbb71fb6e,Crispy toast and then the dressing and the salmon as a flower decoration,none
721b1759e2,"Cook noodles according to package directions, and drain.","cook,drain"
721b1759e2,"Stir in cream of celery soup, evaporated milk, lemon juice, onion, salmon, cheddar cheese, peas, salt, pepper, and Creole seasoning.",stir
721b1759e2,Spoon into greased 7x11 inch baking dish.,spoon
721b1759e2,Bake covered at 350 degrees Fahrenheit for 25 minutes.,bake
721b1759e2,Combine cheese crackers and melted margarine and sprinkle over casserole.,"combine,sprinkle"
721b1759e2,Return to oven for 10 minutes or until crumbs are slightly brownrd.,return
819f6e4cbd,Fill a cocktail shaker with ice.,fill
819f6e4cbd,"Add the Cognac, creme de cacao and cream.",add
819f6e4cbd,"Shake well, strain into a chilled martini glass and garnish with the nutmeg.","shake,strain,garnish"
149b279b6b,Spray a 9 x 13 pan and add chicken and veggies of your choice.,"spray,add"
149b279b6b,(If making ahead I just mix everything in a gallon zippy bag and then pour it all into the sprayed pan when ready to bake.,"mix,pour"
149b279b6b,).,noe
149b279b6b,Except for scallions and corn starch mix together sauce ingredients adjusting the amount of sugar and spices to suit your preferences and pour over chicken and veggies.,"mix,pour"
149b279b6b,Toss to coat.,toss
149b279b6b,Preheat oven to 400 and bake uncovered for about 45 minutes or until chicken and veggies are done.,"preheat,bake"
149b279b6b,Stir once at about 30 minutes and check for doneness.,"stir,check"
149b279b6b,About 10 miutes before it is done mix water and corn starch and sesame oil and mix into chicken and continue baking to thicken sauce.,"mix,baking"
cd6f82d86f,Preheat oven to 375 degrees F.,preheat
cd6f82d86f,"Combine eggs, onion, flour, sugar and salt in processor",combine
cd6f82d86f,blend until onion is finely chopped.,blend
cd6f82d86f,Add half and half and butter,add
cd6f82d86f,process just until blended.,process
cd6f82d86f,Transfer to large bowl.,transfer
cd6f82d86f,Mix in corn.,mix
cd6f82d86f,Pour into crust.,pour
cd6f82d86f,"Bake until filling is slightly puffed and top is golden, about 50 minutes.",bake
cd6f82d86f,Transfer to rack,transfer
cd6f82d86f,cool slightly.,cool
cd6f82d86f,Serve warm.,serve
7626175298,"In a large glass container, add water, ice, strawberries and cucumber.",add
7626175298,Refrigerate overnight and enjoy!,refrigerate
a16ef7723f,"In a large saucepan, cook fettuccine according to the package directions.",cook
a16ef7723f,Add vegetables during the last 4 minutes of cooking pasta.,add
a16ef7723f,Drain and return all to the pan.,drain
a16ef7723f,"Add Alfredo sauce and basil, tossing to coat.",add
a16ef7723f,Cook over low heat for 1-2 minutes or until heated through.,cook
a16ef7723f,Sprinkle with Parmesan cheese to your taste right before serving.,sprinkle
617e5541e4,Cookies: Preheat oven to 375F.,preheat
617e5541e4,Place all ingredients in a mixer.,place
617e5541e4,Continue to add flour until the mixer can no longer mix.,add
617e5541e4,Roll dough on a cookie sheet and use cookie cutters to shape.,"roll,shape"
617e5541e4,Bake for 8-10 minutes.,bake
617e5541e4,Frosting: Mix all ingredients,mix
617e5541e4,add milk to consistency.,add
f2873e0ac6,"In a blender or food processor, combine the soy sauce, honey, vinegar, sesame oil, garlic and ginger",combine
f2873e0ac6,blend until the mixture is smooth.,blend
f2873e0ac6,Trim the tips off the wings and remove any excess skin or fat.,"trim,remove"
f2873e0ac6,Place trimmed wings in a heavy-duty zip-top plastic bag and add the mixture from the blender,"place,add"
f2873e0ac6," marinate, refrigerated, for at least 2 hours or overnight.","marinate,refrigerate"
f2873e0ac6,Preheat oven to 425 degrees F. and arrange wings on a rack over a baking pan.,"preheat,arrange"
f2873e0ac6,"Sprinkle with half of the sesame seeds and bake for 20 minutes, basting with a bit of marinade after 10 minutes","sprinkle,bake,basting"
f2873e0ac6," turn wings over, baste with the remaining marinade and sprinkle with the remaining sesame seeds.","turn,baste,sprinkle"
f2873e0ac6,Continue baking for another 25 minutes or until browned and sizzling.,baking
f2873e0ac6,"If you prefer crisper wings, pop wings under the broiler for a minute or two.",pop
992f18468d,"Wash, dry and slice strawberries.","wash,dry,slice"
992f18468d,Set aside,set aside
992f18468d,Combine milk and lemon juice.,combine
992f18468d,Mix well.,mix
992f18468d,Fold in cool whip.,fold
992f18468d,Fold in strawberries.,fold
992f18468d,Pour into crust.,pour
992f18468d,Chill atleast two hours before serving.,chill
e251a16c96,Pulse rolled oats & oat bran in food processor for 10 secs.,pulse
e251a16c96,Reserve 2 TBSP oat mixture.,reserve
e251a16c96,"In medium bowl, combine remaining oat mixture, baking soda, & cinnamon.",combine
e251a16c96,Mix well & set aside.,mix
e251a16c96,"In small bowl, combine apple sauce, honey, vanilla and milk.",combine
e251a16c96,Pour into oat mixture.,pour
e251a16c96,Stir until just blended.,stir
e251a16c96,Gently mix in egg whites,mix
e251a16c96,Dust well-drained blueberries with 2 TBSP reserved oat mixture.,dust
e251a16c96,Gently fold the blueberries into batter.,fold
e251a16c96,Divide mixture evenly into greased muffin pans and bake at 180C for 20-25 minutes.,"divide,bake"
c632733541,Preheat oven to 375F.,preheat
c632733541,Spray 8-inch square baking dish (or 9 X 11) with nonstick cooking spray,spray
c632733541,Cook pasta to desired doneness as directed on package.,cook
c632733541,Drain,drain
c632733541,"In large bowl, combine cooked pasta, pizza sauce, pepperoni, bell pepper, onion, parmesan cheese, romano cheese, 1 cup of the mozzarella cheese (1/2 of the cheese), oregano and garlic- mix well.","combine,mix"
c632733541,"Spoon into spray coated dish, sprinkle with remaining 1 cup of mozzarella cheese (the other half).",spoon
c632733541,Cover with foil.,cover
c632733541,Bake at 375F for 30 to 35 minutes or until mixture is thoroughly heated and cheese is melted.,bake
c632733541,Serve with side salad and french bread.,serve
c632733541,Enjoy,
6a1d78e5e3,Trim carrots.,trim
6a1d78e5e3,Wash parsley.,wash
6a1d78e5e3,Peel garlic.,peel
6a1d78e5e3,Chop washed celery,chop
6a1d78e5e3,Juice all together.,juice
6a1d78e5e3,0 Points per serving.,
75ee7870ca,"Mix center well kneading till smooth, it will seem very dry.","mix,kneading"
75ee7870ca,"Shape into 8 rolls, roll them in wax paper.","shape,roll"
75ee7870ca,Freeze for 2 hours.,freeze
75ee7870ca,Melt caramels with water and beat well.,"melt,beat"
75ee7870ca,Roll logs in caramel and then into chopped nuts.,roll
75ee7870ca,Keep in an airtight plastic container lined with wax paper and keep refrigerated.,"keep,refrigerated"
75ee7870ca,Keeps 2-4 weeks.,keep
75ee7870ca,Prep time is to make them only -- not freezer time.,none
3af93028b0,Preheat oven to 350 degrees F (175 degrees C).,preheat
3af93028b0,"In a large skillet over medium high heat, combine the sausage, onion, celery and green bell pepper and saute for 5 minutes.","combine,saute"
3af93028b0,Drain any excess fat.,drain
3af93028b0,"Stir the dry rice in with the sausage and vegetables, then add the water and the soup mix.","stir,add"
3af93028b0,Transfer this mixture to a lightly greased 2 quart casserole dish and top with the almonds.,"transfer,top"
3af93028b0,"Bake, covered, at 350 degrees F (175 degrees C) for 90 minutes.",bake
fc78678d7e,"Melt the butter in a large saucepan then add the parsnips, onion and garlic.","melt,add"
fc78678d7e,Cook over a medium-low heat until the onion is softened but not coloured,cook
fc78678d7e,Sprinkle the curry powder in and stir for a minute before adding the stock,"sprinkle,stir"
fc78678d7e,Bring to the boil then cover and simmer for 15 - 20 minutes until the parsnip is cooked through,"bring,boil,simmer"
fc78678d7e,Put the whole lot through a blender and puree smooth.,"put,puree"
fc78678d7e,"Pour back in the pan and season to taste with salt & pepper, add more curry powder if you like","pour,season,add"
fc78678d7e,Keep warm and stir the cream in just before serving,"keep,stir"
fc78678d7e,Garnish with some chopped chives,garnish
8c8ca381e3,"Pour the chocolate syrup into a medium microwave-safe bowl and microwave until hot, about 2 minutes on high, stopping every 30 seconds.","pour,microwave,stopping"
8c8ca381e3,Do not allow to boil.,boil
8c8ca381e3,Stir peanut butter into hot chocolate until smooth.,stir
8c8ca381e3,Allow to cool to room temperature.,allow to cool
8c8ca381e3,Line the bottom of a 9x13-inch dish with a layer of ice cream sandwiches.,line
8c8ca381e3,Spread half the whipped topping over the sandwiches.,spread
8c8ca381e3,Spoon half the chocolate mixture over that.,spoon
8c8ca381e3,Top with half the peanuts.,top
8c8ca381e3,Repeat layers.,repeat
8c8ca381e3,"Freeze until firm, at least 1 hour.",freeze
8c8ca381e3,Cut into squares to serve.,cut
3e24901c19,Preheat oven to 350 degrees F (175 degrees C).,preheat
3e24901c19,"Season chicken breasts with 1 teaspoon of cayenne pepper, 1/2 teaspoon of garlic powder, salt, and black pepper.",season
3e24901c19,Place into a baking dish.,place
3e24901c19,"Bake in the preheated oven until the chicken is no longer pink inside and the juices run clear, about 45 minutes.",bake
3e24901c19,"Allow chicken to cool, and shred with 2 forks.","allow,shred"
3e24901c19,Set chicken aside.,set
3e24901c19,"Heat butter in a large nonstick skillet over medium heat, and cook the onion and jalapenos until the onion is translucent, about 5 minutes","heat,cook"
3e24901c19," stir in the cream cheese in chunks, and allow cream cheese to melt and soften.","stir,melt"
3e24901c19,"Stir the cream cheese into the vegetables, and mix in 1/2 teaspoon of cayenne pepper, 1 tablespoon of garlic powder, the paprika, chili powder, and cumin.","stir,mix"
3e24901c19,Mix in the cooked chicken meat,mix
3e24901c19,remove from heat.,remove
3e24901c19,Pour half the green enchilada sauce into the bottom of a 9x13-inch baking dish.,pour
3e24901c19,"Lay tortillas out onto a work surface, and place chicken mixture in a line down the center of each tortilla","lay,place"
3e24901c19,sprinkle with about 1 tablespoon of Monterey Jack cheese per tortilla.,sprinkle
3e24901c19,"Roll up the tortillas, and place into the sauce in the dish, seam sides down","roll,place"
3e24901c19,pour the remaining sauce over the enchiladas.,pour
3e24901c19,Sprinkle remaining 4 ounces of Monterey Jack cheese over the top.,sprinkle
3e24901c19,"Bake in the preheated oven until the filling is hot and bubbling and the cheese has melted, 30 to 35 minutes.",bake
21c78038ff,"Mix all ingerdients in salsa together, except mango.",mix
21c78038ff,Cover and chill overnight.,"cover,chill"
21c78038ff,"Grill Mahi Mahi on a hot grill, 5 min.",grill
21c78038ff,each side and season with salt and cracked pepper.,season
21c78038ff,Add mango to salsa just before serving and mix well.,"add,serving,mix"
21c78038ff,Place salsa on Mahi Mahi steaks and serve.,"place,serve"
df91e6624d,Melt butter in a saute pan until melted.,melt
df91e6624d,Saute chicken breasts and mushrooms until the chicken is lightly brown and juices run clear.,saute
df91e6624d,"Add the proscuitto, oregano, salt & pepper.",add
df91e6624d,Add marsala wine and cook rapidly to reduce it by half.,"add,cook"
df91e6624d,"Remove chicken to a broiling pan, top with cheese and broil only until the cheese has melted.","remove,top"
df91e6624d,Pour remaining sauce from pan over chicken and sprinkle with chopped parsley if desired.,"pour,sprinkle"
9ac4b9027c,"Melt butter in a large, heavy saucepan over medium heat",melt
9ac4b9027c," cook and stir onion, celery, carrot, and garlic until softened, 5 to 10 minutes.","cook,stir"
9ac4b9027c,Stir flour into vegetable mixture,stir
9ac4b9027c," cook and stir until vegetables are evenly coated and flour is fragrant, 3 to 4 minutes.","cook,stir"
9ac4b9027c,"Pour chicken broth, half-and-half, and milk over vegetable mixture",pour
9ac4b9027c," cook and stir until mixture thickens and comes to a boil, about 5 minutes.","cook,stir"
9ac4b9027c,"Reduce heat and stir gnocchi, chicken, and spinach into broth mixture","reduce heat,stir"
9ac4b9027c," season with rosemary, salt, black pepper, and nutmeg.",season
9ac4b9027c,"Cook soup over low heat until gnocchi become tender, 8 to 10 minutes.",cook
de1a8555be,Preheat oven to 350,preheat
de1a8555be,Thoroughly mix egg mixture and pour into a nonstick casserole dish,"mix,pour"
de1a8555be,Bake for 25 to 30 minutes until brown,bake
de1a8555be,Let crust sit for five minutes,sit
de1a8555be,Brown ground meat and add all remaining ingredients minus cheese,add
de1a8555be,Pour topping mix on top of crust.,pour
de1a8555be,Top with cheese and bake for twenty minutes,"top,bake"
da9912a85f,Preheat oven to 375 degrees F (190 degrees C).,Preheat
da9912a85f,"sweat,",sift
da9912a85f,cut in the butter until the mixture has a crumbly texture.,"cut,crumbly texture"
da9912a85f,Whisk together the egg and half-and-half in a separate bowl,whisk
da9912a85f,stir the egg mixture into the flour mixture until combined,stir
da9912a85f,stir in the pear.,stir
da9912a85f,Drop large spoonfuls of the dough onto an ungreased baking sheet.,drop
da9912a85f,"Bake in preheated oven until golden brown, about 15 minutes","bake,golden brown"
da9912a85f,rest briefly on a cooling rack before serving.,rest
f5f6f3fa88,"Chop carrot, onion, celery and mushrooms in a food processor.",chop
f5f6f3fa88,"In a spice grinder, or mortar and pestle, grind juniper, allspice, cloves and pepper.",grind
f5f6f3fa88,"In a large Dutch oven, sweat vegetables and mushrooms in olive oil over medium heat until they become soft, 5 to 7 minutes, then add the pork, stirring until cooked through.","sweat,soft,add,stirring"
f5f6f3fa88,Season with salt and pepper.,season
f5f6f3fa88,"Add wine, broth, mushroom liquid, herbs and spices.",add
f5f6f3fa88,Bring to a boil.,boil
f5f6f3fa88,Reduce to a simmer and reduce by half for 1 to 1 A 1/2 hours.,"reduce,simmer"
f5f6f3fa88,Add tomatoes and simmer on very low heat for 5 hours.,"add,simmer"
f5f6f3fa88,"Add cream and allow sauce to simmer gently until it has emulsified, about 20 minutes.","add,simmer,emulsified"
f5f6f3fa88,"(If freezing the sauce, wait to add the cream until just before serving the pasta).","freezing,add,serving"
f5f6f3fa88,Boil the pasta in well-salted water.,boil
f5f6f3fa88,"If using fresh pasta, toss the pasta in butter and season it well with salt and pepper.","toss,season"
f5f6f3fa88,"Then serve immediately in shallow bowls, topped with 1/3 to A 1/2 cup of sauce.","serve,topped"
f5f6f3fa88,"If using short pasta, toss the pasta in the sauce with some butter and serve immediately in shallow bowls.","toss,serve"
f5f6f3fa88,Garnish with fresh Parmesan cheese.,garnish
dad239724f,"In a large bowl, drizzle melted butter over popped popcorn, then add remaining ingredients.","drizzle,add"
dad239724f,Toss to combine.,toss
dad239724f,Enjoy!,none
6b63e62375,Melt the butter over low heat in a saucepan.,melt
6b63e62375,"Add leeks and saute until translucent, stirring occasionally.","add,saute,stirring"
6b63e62375,"Add remaining ingredients and simmer, covered, until potatoes are done.","add,simmer,covered"
6b63e62375,"Using a potato masher, mash the potatoes directly in the broth.",mash
6b63e62375,"Leave it chunky, this soup is not supposed to be smooth.","chunky,smooth"
6b63e62375,Enjoy!,none
757ab8599f,"In a large bowl combine persimmon puree, sugar, egg and butter and beat until smooth (an electric mixer really helps!",combine
757ab8599f,).,none
757ab8599f,"Sift flour, cinnamon and baking soda together and stir into persimmon mixture along with the milk and raisins alternately.","sift,stir"
757ab8599f,Turn batter into a well buttered 1 quart steamed pudding mold and cover tightly with a lid or heavy foil secured with kitchen string.,"turn,cover"
757ab8599f,Place mold on a rack in a kettle with a tight fitting lid.,place
757ab8599f,Pour boiling water into kettle to reach 2/3 of the way up the sides of the mold and steam pudding covered for 2 hours over medium heat.,"pour,steam"
757ab8599f,Remove pudding to a rack and cool uncovered for 15 minutes.,"remove,cool"
757ab8599f,Invert onto a serving plate and serve with vanilla sauce.,"invert,serve"
757ab8599f,VANILLA SAUCE:.,none
757ab8599f,"In a small saucepan combine sugar, cornstarch, nutmeg and salt.",combine
757ab8599f,Add water in a stream whisking constantly and then simmer sauce over low heat until thickened or just starts to come to a boil (about 3 minutes).,"add,simmer,thickened"
757ab8599f,"Off heat, whisk in butter, vanilla and zest.",whisk
757ab8599f,Transfer to a serving bowl and serve with warm steamed pudding.,"transfer,serve"
757ab8599f,Makes 2 cups.,none
a09ee4a45e,"Combine graham cracker crumbs, brown sugar, and cinnamon in a bowl",combine
a09ee4a45e,stir in melted butter.,stir
a09ee4a45e,Set aside 1/2 cup of graham cracker mixture,set aside
a09ee4a45e,press remaining mixture into a 9x13-inch dish.,press
a09ee4a45e,"Chill crust until firm, about 30 minutes.","chill,firm"
a09ee4a45e,"Beat cream cheese, confectioners' sugar, and 1 teaspoon vanilla extract together in a bowl until soft and fluffy.","beat,soft,fluffy"
a09ee4a45e,"Spread cream cheese mixture over graham cracker crust and chill until firm, about 30 more minutes.","spread,chill,firm"
a09ee4a45e,Whisk raspberry gelatin and boiling water together in a separate large bowl until gelatin has dissolved,"whisk,boiling,dissolved"
a09ee4a45e,stir in lemon juice.,stir
a09ee4a45e,Gently fold frozen raspberries into warm gelatin,gently fold
a09ee4a45e,cold raspberries will cause gelatin to begin to set.,none
a09ee4a45e,Spread raspberry mixture over cream cheese layer in pan.,spread
a09ee4a45e,Spread whipped topping over raspberries and sprinkle dessert with reserved crumb topping.,"spread,sprinkle"
a09ee4a45e,Chill at least 2 more hours.,chill
50ea59dd4d,Preheat oven to 350 degrees.,preheat
50ea59dd4d,"In large mixing bowl, cream the shortening, brown sugar, egg and vanilla extract.",cream
50ea59dd4d,Stir in the applesauce.,stir
50ea59dd4d,"Sift together the flour, baking soda, salt, cinnamon, cloves, cardamom and black pepper.",sift
50ea59dd4d,Stir into the wet ingredients.,stir
50ea59dd4d,Mix in the raisins and nuts.,mix
50ea59dd4d,Drop by tablespoonful onto parchment lined or greased cookie sheet.,drop
50ea59dd4d,"Bake 10 minutes, turning the cookie sheet halfway through the baking.","bake,turn"
50ea59dd4d,Remove from oven and transfer cookies to wire rack to cool.,"remove,transfer,cool"
50ea59dd4d,Yield is estimated.,yield
42bad28c61,Preheat oven to 350.,preheat
42bad28c61,Line baking sheets with parchment paper,line
42bad28c61,"Combine flour and salt in a bowl, set aside",combine
42bad28c61,"In another bowl beat butter and sugar until light and fluffy, add vanilla and almond extract and beat in","beat,light,add,fluffy"
42bad28c61,Add flour and salt mixture and stir until b L emded,"add,stir"
42bad28c61,"Cover and refigerate until dough is firm, at least 2 hours.","cover,refrigerate,firm"
42bad28c61,"Then roll into 1 inch balls, place on prepared pans","roll,place"
42bad28c61,"Make a indentation with a wooden spoon handle or a thumb,if it cracks just smooth it over , place some cherry jam in each indentation.","indentation,smooth,place"
42bad28c61,Keep dough cool.,cool
42bad28c61,If it warms during batches chill it don't work with warm sticky dough,none
42bad28c61,Bake for 13 to 15 minutes until slightly golden.,"bake,slightly golden"
42bad28c61,Cool in pans 5 minutes then transfer to racks to cool completely before glazing,"cool,transfer,cool,glazing"
42bad28c61,GLAZE COOKIES,glaze
42bad28c61,"Melt semisweet chocolate, just until smooth.",melt
42bad28c61,Drizzle over cooled cookies,"drizzle,cooled"
42bad28c61,"Melt white chocolate just until smooth, .","melt,smooth"
42bad28c61,Drizzle over cookies.,drizzle
42bad28c61,Let cookies sit about 30 minutes to set choclate up.,sit
849eaffa16,Beat together the egg and water in a bowl.,beat
849eaffa16,"Brush the puff pastry shells with the egg mixture, and bake shells according to package directions.","brush,bake"
849eaffa16,Melt the preserves in a saucepan over low heat.,"melt,low heat"
849eaffa16,"Remove from heat, and stir in the strawberry slices.","remove,stir"
849eaffa16,"In a food processor, blend the kiwis and honey until smooth.","blend,smooth"
849eaffa16,"In a large bowl, beat together the cream and sugar until stiff peaks form.","beat,stiff peaks"
849eaffa16,"Fill each puff pastry shell with strawberries, drizzle with kiwi sauce, and top with whipped cream to serve.","fill,drizzle,top"
2306e7496e,"Preheat oven to 400* Grease or paper line 12 muffin cups, or 6 jumbo size muffin cups.","preheat,grease,paper line"
2306e7496e,"Combine corn meal, flour, sugar, wheat germ and baking powder in large bowl.",combine
2306e7496e,"Combine milk, vegetable oil, yogurt, egg and egg white in small bowl, stir until blended.","combine,stir,blended"
2306e7496e,"Add to corn meal mixture, stirring just until moistened.","add,stirring,moistened"
2306e7496e,Gently fold in blueberries.,fold
2306e7496e,"Spoon batter into prepared muffin cups, filling 3/4 full.",spoon
2306e7496e,Bake for 18 to 20 minutes for 12 muffins or about 25 minutes for 6 or until toothpick inserted comes out clean.,"bake,inserted,comes out clean"
2306e7496e,"Cool in pan on wire rack for 5 minutes, remove to wire rack to cool slightly.","cool,remove"
b3b6159b04,Preheat oven to 325 degrees F.,preheat
b3b6159b04,Gather the ingredients for the Quick Bread Base and one of the variations.,gather
b3b6159b04,Coat 4 small loaf pans with vegetable cooking spray.,coat
b3b6159b04,Combine dry ingredients,combine
b3b6159b04,blend well and set aside.,blend
b3b6159b04,Combine wet ingredients,combine
b3b6159b04,blend well.,blend
b3b6159b04,Mix together wet and dry ingredients.,mix
b3b6159b04,Do not over mix.,mix
b3b6159b04,"Distribute batter among the 4 pans, and bake for 30 to 40 minutes.","distribute,bake"
1bb788b0a0,Pour the water into a large bowl.,pour
1bb788b0a0,Dissolve the sugar in the water and then add the yeast.,"dissolve,add"
1bb788b0a0,Let stand for about 10 minutes until bubbly.,"let stand,bubbly"
1bb788b0a0,Mix in 1 cup of the flour and mix to form a slurry.,mix
1bb788b0a0,"Add the egg, oli and salt and mix to incorporate into the mixture.","add,mix"
1bb788b0a0,Gradually add more flour until too hard to stir then add more kneading by hand until you have a very slightly sticky ball of dough.,"gradually add,stir,kneading,sticky"
1bb788b0a0,Turn the dough out onto a floured surface and knead for about 5 to 10 minutes until the dough is smooth and elastic.,"turn,knead,smooth,elastic"
1bb788b0a0,Place into an oiled bowl and cover with a damp kitchen towel (or plastic wrap) for about 1 1/2 hours or until it has doubled in volume.,"place,cover"
1bb788b0a0,Knead the dough a second time (but for much less time) and then shape into loaves.,"knead,shape"
1bb788b0a0,"I divide the ball into two, then each half into three and braid them forming two braided loaves.","divide,braid"
1bb788b0a0,"Place the loaves on a greased cookie sheet or baking stone and cover again, this time for about 45 minutes until doubled again.","place,cover"
1bb788b0a0,"About 15 minutes before the end of the second rise, preheat the oven to 350.",preheat
1bb788b0a0,Bake for 22-25 minutes or until they sound hollow when tapped on the bottom.,"bake,sound hollow,tapped"
1bb788b0a0,You can brush the loaves with an egg wash and coat with sesame or other seeds if you wish or leave without a glaze for a more rustic look.,"brush,coat"
1bb788b0a0,These loves are always the hit of any meal!,none
1bb788b0a0,Enjoy!,none
dfb6179073,"Mix honey, peanut butter, and cocoa powder.",mix
